"","pert_iname","mean","n","median","sd","sRGES"
"5924","tibolone",-0.157214050000108,6,-0.323226129046321,0.521852371654794,-0.157214050000108
"5925","KUC103420N",-0.157159956118658,4,-0.14870406656815,0.472417287398907,-0.157159956118658
"5926","BRD-K78699095",-0.157146186375502,1,-0.157146186375502,NA,-0.157146186375502
"5927","BRD-K41350512",-0.157062399475662,1,-0.157062399475662,NA,-0.157062399475662
"5928","BRD-K54263226",-0.156885186878255,2,-0.156885186878255,0.730906966168526,-0.156885186878255
"5929","BRD-K82685933",-0.156867486417198,13,-0.414629868456194,0.453376668021794,-0.156867486417198
"5930","fludrocortisone",-0.156828159690755,13,-0.300475617798876,0.401262403789074,-0.156828159690755
"5931","nisoxetine",-0.156785279942113,6,-0.175102249488752,0.284696072011082,-0.156785279942113
"5932","mebendazole",-0.156715996420006,65,-0.256134969325153,0.42486669737856,-0.156715996420006
"5933","BRD-K16714380",-0.156443820588287,5,-0.205959684487292,0.618737461094076,-0.156443820588287
"5934","BRD-K61220066",-0.156227868736275,2,-0.156227868736275,0.518149753797719,-0.156227868736275
"5935","SA-1457458",-0.15613125816611,2,-0.15613125816611,0.524933393762375,-0.15613125816611
"5936","BRD-K23077259",-0.155977620789759,1,-0.155977620789759,NA,-0.155977620789759
"5937","SB-205607",-0.155911586274331,9,-0.370216184633363,0.591814154998006,-0.155911586274331
"5938","BRD-K52880714",-0.155893833889919,1,-0.155893833889919,NA,-0.155893833889919
"5939","iopanoic-acid",-0.155860165520066,9,-0.150233713117149,0.403094015581726,-0.155860165520066
"5940","tacrolimus",-0.155725768769436,39,-0.3242851416084,0.436838863986443,-0.155725768769436
"5941","benzanthrone",-0.155540948485734,3,-0.208808063102542,0.1545056955708,-0.155540948485734
"5942","BRD-K15428056",-0.155535050704927,3,-0.426680701059174,0.678801268755046,-0.155535050704927
"5943","mecamylamine",-0.155500449817573,1,-0.155500449817573,NA,-0.155500449817573
"5944","BRD-K76352008",-0.155387962221522,2,-0.155387962221522,0.834349478782948,-0.155387962221522
"5945","BRD-K75035820",-0.155344647764148,6,-0.0498937762089818,0.378502943153661,-0.155344647764148
"5946","leflunomide",-0.155317227137895,7,-0.258618171194858,0.456067414765357,-0.155317227137895
"5947","BRD-K08831772",-0.155314926872412,2,-0.155314926872412,0.906237635327768,-0.155314926872412
"5948","sertaconazole",-0.155088857692779,7,-0.0474729769208297,0.547430570660284,-0.155088857692779
"5949","BRD-K44635753",-0.15508536309486,5,-0.487364884604148,0.58950592320102,-0.15508536309486
"5950","rimexolone",-0.155082031970079,9,-0.215600350569676,0.484308675206691,-0.155082031970079
"5951","BRD-K36354764",-0.155037050492355,10,-0.178981314556107,0.491657138240317,-0.155037050492355
"5952","BRD-K42867405",-0.15497020351181,6,-0.251428285089915,0.50529434229956,-0.15497020351181
"5953","BRD-K68594214",-0.154964857257441,3,-0.364527618967442,0.537002084752023,-0.154964857257441
"5954","podophyllotoxin",-0.1548899030836,31,-0.267382413087935,0.476790897841007,-0.1548899030836
"5955","BRD-K91491104",-0.154871339002393,1,-0.154871339002393,NA,-0.154871339002393
"5956","LY-303511",-0.154829570898908,15,-0.0268770084721005,0.450079871089586,-0.154829570898908
"5957","tubastatin-a",-0.154596057157403,35,0.0587852644681405,0.485565201686839,-0.154596057157403
"5958","BRD-K52435112",-0.154586365306445,3,-0.245445923448245,0.195812796648207,-0.154586365306445
"5959","purpurogallin",-0.154475224408522,3,-0.433619059224526,0.573387217659573,-0.154475224408522
"5960","EMF-sumo1-8",-0.15446032132881,6,-0.0544113350861815,0.447473098518181,-0.15446032132881
"5961","hemicholinium-3",-0.154435324731155,5,0.0792799902409612,0.773839925969057,-0.154435324731155
"5962","BRD-K45895591",-0.15438057446457,3,-0.397539596764696,0.584122756590995,-0.15438057446457
"5963","BRD-K67780021",-0.15436009155863,1,-0.15436009155863,NA,-0.15436009155863
"5964","BRD-K12266212",-0.15433188423183,1,-0.15433188423183,NA,-0.15433188423183
"5965","norfloxacin",-0.15433188423183,1,-0.15433188423183,NA,-0.15433188423183
"5966","valdecoxib",-0.154236740938062,36,0.0321355536079462,0.4513878397797,-0.154236740938062
"5967","BRD-K70711508",-0.154137129992212,5,-0.288901956168082,0.423934620986585,-0.154137129992212
"5968","RS-56812",-0.153974784262181,6,-0.186134682986497,0.610661746165353,-0.153974784262181
"5969","PF-431396",-0.153935476286884,32,0.0107309393268277,0.3777172018257,-0.153935476286884
"5970","BRD-K70977695",-0.153777975440079,4,-0.248977505112474,0.76959308074781,-0.153777975440079
"5971","BRD-K22129929",-0.153633952633005,6,-0.328626649098095,0.423072866650324,-0.153633952633005
"5972","L-690488",-0.153624791978156,38,-0.0379418638621093,0.429832992196062,-0.153624791978156
"5973","BRD-K57037351",-0.153610972777399,6,-0.205087356080274,0.559167477779467,-0.153610972777399
"5974","BRD-K49967178",-0.153601530740741,3,-0.182815670384328,0.367145038741476,-0.153601530740741
"5975","heptaminol",-0.153455460042522,1,-0.153455460042522,NA,-0.153455460042522
"5976","BRD-K57133453",-0.153421383570945,1,-0.153421383570945,NA,-0.153421383570945
"5977","BRD-K31487253",-0.153348348221836,1,-0.153348348221836,NA,-0.153348348221836
"5978","gemfibrozil",-0.153186998322509,13,-0.245626070618041,0.409407579404913,-0.153186998322509
"5979","BRD-K98582396",-0.153118490623778,1,-0.153118490623778,NA,-0.153118490623778
"5980","BRD-K51377689",-0.152882507693641,10,-0.266688577271399,0.446017435570492,-0.152882507693641
"5981","BRD-K58033748",-0.152871177249651,1,-0.152871177249651,NA,-0.152871177249651
"5982","SGX523",-0.152823166288025,13,-0.341487407526539,0.372399693034196,-0.152823166288025
"5983","BRD-K16940042",-0.152813328901102,8,-0.113427992948518,0.352716587017187,-0.152813328901102
"5984","daidzein",-0.152757528443698,4,-0.155281343770247,0.463015901513635,-0.152757528443698
"5985","BRD-K35462725",-0.152753313878233,1,-0.152753313878233,NA,-0.152753313878233
"5986","RS-504393",-0.152610775115098,12,-0.190078591838381,0.419190494182736,-0.152610775115098
"5987","BRD-K74046820",-0.152606592067876,6,-0.191900379783815,0.384806184236694,-0.152606592067876
"5988","BRD-K69003436",-0.152305778530096,3,-0.412138475021911,0.643355515232242,-0.152305778530096
"5989","BRD-K61991236",-0.152289335659756,2,-0.152289335659756,0.526405157802693,-0.152289335659756
"5990","talipexole",-0.152173245650826,4,-0.3311098509678,0.487266519571422,-0.152173245650826
"5991","dobutamine",-0.152164116232187,8,-0.315074496056091,0.383720033782541,-0.152164116232187
"5992","BRD-K15640888",-0.151935880766222,8,-0.222287180795436,0.443615485078656,-0.151935880766222
"5993","sunitinib",-0.15193259570791,42,-0.125365176745544,0.479476361121109,-0.15193259570791
"5994","BRD-K27881911",-0.151887588632843,5,-0.455886649138183,0.592005348704754,-0.151887588632843
"5995","BRD-K39701065",-0.151876889688926,1,-0.151876889688926,NA,-0.151876889688926
"5996","BRD-K35035132",-0.151739129338462,2,-0.151739129338462,0.515043523866012,-0.151739129338462
"5997","BRD-K53808186",-0.151562032596555,5,-0.131463628396144,0.434712262955834,-0.151562032596555
"5998","SA-1922261",-0.1515524451834,2,-0.1515524451834,0.444142391653859,-0.1515524451834
"5999","BRD-K94263505",-0.151449429145003,1,-0.151449429145003,NA,-0.151449429145003
"6000","n-acetyl-l-leucine",-0.151410470267471,2,-0.151410470267471,0.445169475155422,-0.151410470267471
"6001","protein-tyrosine-phosphatase-inhibitor-IV",-0.151358679500844,8,-0.220493718959976,0.391021829125146,-0.151358679500844
"6002","BRD-K44366812",-0.151261524388452,4,-0.153567454269163,0.618284686447635,-0.151261524388452
"6003","rifampicin",-0.151240054452884,3,-0.400168869332619,0.506831815602232,-0.151240054452884
"6004","BRD-K29102147",-0.151230323097676,2,-0.151230323097676,0.264106345237219,-0.151230323097676
"6005","clomifene",-0.151167325350633,23,-0.2011393514461,0.558571836755234,-0.151167325350633
"6006","BRD-A40163033",-0.15114665498101,2,-0.15114665498101,0.432826609196936,-0.15114665498101
"6007","BRD-K46555875",-0.151008775847372,2,-0.151008775847372,0.792990404989734,-0.151008775847372
"6008","josamycin",-0.15081799591002,1,-0.15081799591002,NA,-0.15081799591002
"6009","H-9",-0.150781216154683,26,-0.309093788993735,0.459309653963822,-0.150781216154683
"6010","BRD-K03013810",-0.150695500432858,2,-0.150695500432858,0.636114872475558,-0.150695500432858
"6011","BRD-K37268490",-0.150607081427273,1,-0.150607081427273,NA,-0.150607081427273
"6012","gibberellic-acid",-0.150603804801441,5,-0.291054057763819,0.299175763064368,-0.150603804801441
"6013","BRD-K72463020",-0.150426934257477,1,-0.150426934257477,NA,-0.150426934257477
"6014","flutamide",-0.150407533765317,30,-0.16466229034846,0.435592345687394,-0.150407533765317
"6015","fluoxetine",-0.150397531095884,11,-0.251541933895867,0.416290154684764,-0.150397531095884
"6016","resveratrol",-0.150283774968162,41,-0.125036517674554,0.428057818403357,-0.150283774968162
"6017","BRD-K25144184",-0.15028129871991,7,-0.462102845377024,0.508892335287696,-0.15028129871991
"6018","epigallocatechin",-0.150059486827876,44,-0.295874390805012,0.457312997843613,-0.150059486827876
"6019","BRD-K30381304",-0.150020068112875,9,0.0575436635332879,0.397037874410326,-0.150020068112875
"6020","BRD-K48296029",-0.149999872691201,6,-0.104683230494207,0.594144152136225,-0.149999872691201
"6021","cinnarizine",-0.149997250497753,7,-0.166958808063102,0.360107509232492,-0.149997250497753
"6022","BRD-K73709114",-0.149944848346545,5,-0.176015191352615,0.510883837469467,-0.149944848346545
"6023","W-13",-0.149706279324829,7,-0.232479707778427,0.39456008820247,-0.149706279324829
"6024","BRD-K03354784",-0.149006528288919,4,0.109821589838834,0.585681612544417,-0.149006528288919
"6025","BRD-K79112806",-0.148901820228522,3,-0.109260882267017,0.340000821424711,-0.148901820228522
"6026","BRD-K05415698",-0.148893191926188,2,-0.148893191926188,0.589875376476245,-0.148893191926188
"6027","BRD-K14385562",-0.148444228280804,1,-0.148444228280804,NA,-0.148444228280804
"6028","NVP-BGJ398",-0.14828484258676,26,0.00896514849471328,0.439939260244337,-0.14828484258676
"6029","BRD-K07452532",-0.148220817681047,4,-0.176221354946442,0.318474589698878,-0.148220817681047
"6030","BRD-K96621343",-0.148072458803303,3,-0.446984528111468,0.645547329067421,-0.148072458803303
"6031","BRD-K29924325",-0.148011391961516,2,-0.148011391961516,0.118669828353268,-0.148011391961516
"6032","BRD-K23680395",-0.14800601618615,1,-0.14800601618615,NA,-0.14800601618615
"6033","BRD-K46869836",-0.147900677727951,2,-0.147900677727951,0.339810349977151,-0.147900677727951
"6034","BRD-K54822214",-0.147834392156869,9,-0.2719836400818,0.597971267322696,-0.147834392156869
"6035","apoptosis-activator-II",-0.147805287759276,4,-0.213482325445515,0.34542649509309,-0.147805287759276
"6036","BRD-K67258146",-0.14777488916058,7,-0.211153385838608,0.341968321625118,-0.14777488916058
"6037","BRD-K36984542",-0.147682792282113,4,-0.0936914104533079,0.476357268407799,-0.147682792282113
"6038","CAY-10594",-0.14764288660565,37,-0.177411054550264,0.458617414679267,-0.14764288660565
"6039","L-368899",-0.147616196283384,9,-0.234013450109715,0.456766996250989,-0.147616196283384
"6040","BML-259",-0.147603060796868,45,-0.124963482325445,0.400329933788305,-0.147603060796868
"6041","BRD-K33761091",-0.14754582130674,4,0.008448525275585,0.458077450448712,-0.14754582130674
"6042","BRD-K17817744",-0.147416768129972,3,-0.0874963482325445,0.215443120247613,-0.147416768129972
"6043","treprostinil",-0.147279877260525,6,-0.200335962605901,0.360181898607286,-0.147279877260525
"6044","BRD-K68233995",-0.147275662695061,1,-0.147275662695061,NA,-0.147275662695061
"6045","BRD-K60636255",-0.147275104598941,7,-0.171779141104294,0.371735148367619,-0.147275104598941
"6046","chicago-sky-blue-6b",-0.14704723339425,3,-0.155938661912227,0.644546435861218,-0.14704723339425
"6047","CGP-55845",-0.146985687972945,4,-0.256208004674263,0.431253795595943,-0.146985687972945
"6048","BRD-K95880052",-0.146691379902189,1,-0.146691379902189,NA,-0.146691379902189
"6049","RG-13022",-0.146596194808201,8,-0.325486129086409,0.545331889705549,-0.146596194808201
"6050","BRD-K83194053",-0.14650257247358,14,0.0567078528008245,0.471048564616238,-0.14650257247358
"6051","BRD-K48860322",-0.146472273854862,1,-0.146472273854862,NA,-0.146472273854862
"6052","graveoline",-0.146187949456364,9,-0.317119485831142,0.358438695296764,-0.146187949456364
"6053","BRD-K31851742",-0.146111311674782,2,-0.146111311674782,0.800111455784607,-0.146111311674782
"6054","BRD-K91535031",-0.146107097109317,1,-0.146107097109317,NA,-0.146107097109317
"6055","QL-XI-92",-0.145943747648458,37,-0.0692116260483038,0.501277032566837,-0.145943747648458
"6056","BRD-K49477330",-0.145813379813896,9,-0.0151913526146655,0.387496883272971,-0.145813379813896
"6057","BRD-K19642661",-0.145747296139137,2,-0.145747296139137,0.506220038164204,-0.145747296139137
"6058","remacemide",-0.145629278370663,10,-0.166009348524686,0.398685549527247,-0.145629278370663
"6059","BRD-A41649729",-0.145557168022647,11,-0.0123063375416858,0.445540688066918,-0.145557168022647
"6060","MW-STK33-2B",-0.145532014197045,32,-0.155317861444801,0.486969171935641,-0.145532014197045
"6061","rescinnamine",-0.14547344666816,5,-0.220347648261759,0.472832748183479,-0.14547344666816
"6062","butylparaben",-0.145318730132005,3,0.119777972538709,0.611518106631141,-0.145318730132005
"6063","PU-H71",-0.145297423270437,17,-0.247013742251111,0.436453446954269,-0.145297423270437
"6064","BRD-K14666757",-0.145270039899265,3,0.160677768039731,0.588993861999067,-0.145270039899265
