"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"c0-768",4342.53253908684,0,0,1.93267989477949,0.053275643431837,0.742037575155024
"c0-1439",4347.3121120802,0,0,1.92149297379344,0.0546695873236189,0.742037575155024
"c0-436",2939.70598123632,0,0,1.91626332724671,0.055331586292493,0.742037575155024
"c3-195",4337.49318368551,0,0,1.91277183277934,0.0557772685882351,0.742037575155024
"c4-133",3865.07263751672,0,0,1.91144450776751,0.055947481647396,0.742037575155024
"c0-238",3517.52573745162,0,0,1.90953960894332,0.0561925171897819,0.742037575155024
"c0-1090",4302.77065414426,0,0,1.90833694452616,0.0563476809158425,0.742037575155024
"c0-1362",4351.29021494759,0,0,1.90815279586846,0.0563714706169979,0.742037575155024
"c2-288",4325.7149736067,0,0,1.90495847877963,0.0567854686277041,0.742037575155024
"c1-26",3072.59382867653,0,0,1.89831372087768,0.0576547675668066,0.742037575155024
"c0-249",2909.18793384184,0,0,1.89777177073428,0.0577261534087529,0.742037575155024
"c1-246",4277.65716917995,0,0,1.89019440209165,0.0587319650970305,0.742037575155024
"c0-1221",4284.22055498104,0,0,1.88988414126406,0.0587734569774887,0.742037575155024
"c0-309",3202.0960603242,0,0,1.88075198420012,0.0600056645714456,0.742037575155024
"c1-470",4232.75199583357,0,0,1.87232252959309,0.0611619956706847,0.742037575155024
"c1-79",3208.40951638171,0,0,1.8697266476624,0.0615217870780094,0.742037575155024
"c2-216",4247.54044137557,0,0,1.86971611672743,0.0615232502354583,0.742037575155024
"c0-154",2466.45201677451,0,0,1.8674021036731,0.0618454562630829,0.742037575155024
"c0-1152",3778.34910383554,0,0,1.86245757163377,0.0625386206131137,0.742037575155024
"c3-159",4236.02136148139,0,0,1.85668220001103,0.0633563814078744,0.742037575155024
"c0-579",3400.35588287879,0,0,1.85324537975034,0.0638471960265747,0.742037575155024
"c3-81",3735.86316276811,0,0,1.85122108785416,0.0641377531873112,0.742037575155024
"c0-641",4191.7690168201,0,0,1.84389197838823,0.0651988843718508,0.742037575155024
"c1-12",2843.97379541433,0,0,1.84039973122405,0.0657095729064383,0.742037575155024
"c0-780",3391.71466274032,0,0,1.83493844685871,0.0665148102202804,0.742037575155024
"c1-559",4193.85994599138,0,0,1.8274929123071,0.0676256909092702,0.742037575155024
"c0-52",2054.80931098354,0,0,1.82373575017795,0.0681920313454881,0.742037575155024
"c1-447",4133.07875212449,0,0,1.81679169453424,0.069249015035508,0.742037575155024
"c1-72",3650.67657449343,0,0,1.8109158861158,0.0701538730922868,0.742037575155024
